#vin	V(vpos)-V(n002)
7.600000000000005e-001	2.378182e+000
7.700000000000005e-001	2.370000e+000
7.800000000000005e-001	2.361818e+000
7.900000000000005e-001	2.353636e+000
8.000000000000005e-001	2.345455e+000
8.100000000000005e-001	2.337273e+000
8.200000000000005e-001	2.329091e+000
8.300000000000005e-001	2.320909e+000
8.400000000000005e-001	2.312727e+000
8.500000000000005e-001	2.304545e+000
8.600000000000005e-001	2.296364e+000
8.700000000000006e-001	2.288182e+000
8.800000000000006e-001	2.280000e+000
8.900000000000006e-001	2.271818e+000
9.000000000000006e-001	2.263636e+000
9.100000000000006e-001	2.255455e+000
9.200000000000006e-001	2.247273e+000
9.300000000000006e-001	2.239091e+000
9.400000000000006e-001	2.230909e+000
9.500000000000006e-001	2.222727e+000
9.600000000000006e-001	2.214545e+000
9.700000000000006e-001	2.206364e+000
9.800000000000007e-001	2.198182e+000
9.900000000000007e-001	2.190000e+000
1.000000000000001e+000	2.181818e+000
1.010000000000001e+000	2.173636e+000
1.020000000000001e+000	2.165455e+000
1.030000000000001e+000	2.157273e+000
1.040000000000001e+000	2.149091e+000
1.050000000000001e+000	2.140909e+000
1.060000000000001e+000	2.132727e+000
1.070000000000001e+000	2.124545e+000
1.080000000000001e+000	2.116364e+000
1.090000000000001e+000	2.108182e+000
1.100000000000001e+000	2.100000e+000
1.110000000000001e+000	2.091818e+000
1.120000000000001e+000	2.083636e+000
1.130000000000001e+000	2.075455e+000
1.140000000000001e+000	2.067273e+000
1.150000000000001e+000	2.059091e+000
1.160000000000001e+000	2.050909e+000
1.170000000000001e+000	2.042727e+000
1.180000000000001e+000	2.034545e+000
1.190000000000001e+000	2.026364e+000
1.200000000000001e+000	2.018182e+000
1.210000000000001e+000	2.010000e+000
1.220000000000001e+000	2.001818e+000
1.230000000000001e+000	1.993636e+000
1.240000000000001e+000	1.985455e+000
1.250000000000001e+000	1.977273e+000
1.260000000000001e+000	1.969091e+000
1.270000000000001e+000	1.960909e+000
1.280000000000001e+000	1.952727e+000
1.290000000000001e+000	1.944546e+000
1.300000000000001e+000	1.936364e+000
1.310000000000001e+000	1.928182e+000
1.320000000000001e+000	1.920000e+000
1.330000000000001e+000	1.911818e+000
1.340000000000001e+000	1.903636e+000
1.350000000000001e+000	1.895455e+000
1.360000000000001e+000	1.887273e+000
1.370000000000001e+000	1.879091e+000
1.380000000000001e+000	1.870909e+000
1.390000000000001e+000	1.862727e+000
1.400000000000001e+000	1.854545e+000
1.410000000000001e+000	1.846364e+000
1.420000000000001e+000	1.838182e+000
1.430000000000001e+000	1.830000e+000
1.440000000000001e+000	1.821818e+000
1.450000000000001e+000	1.813636e+000
1.460000000000001e+000	1.805454e+000
1.470000000000001e+000	1.797273e+000
1.480000000000001e+000	1.789091e+000
1.490000000000001e+000	1.780909e+000
1.500000000000001e+000	1.772727e+000
1.510000000000001e+000	1.764545e+000
1.520000000000001e+000	1.756364e+000
1.530000000000001e+000	1.748182e+000
1.540000000000001e+000	1.740000e+000
1.550000000000001e+000	1.731818e+000
1.560000000000001e+000	1.723636e+000
1.570000000000001e+000	1.715455e+000
1.580000000000001e+000	1.707273e+000
1.590000000000001e+000	1.699091e+000
1.600000000000001e+000	1.690909e+000
1.610000000000001e+000	1.682727e+000
1.620000000000001e+000	1.674545e+000
1.630000000000001e+000	1.666364e+000
1.640000000000001e+000	1.658182e+000
1.650000000000001e+000	1.650000e+000
1.660000000000001e+000	1.641818e+000
1.670000000000001e+000	1.633636e+000
1.680000000000001e+000	1.625455e+000
1.690000000000001e+000	1.617273e+000
1.700000000000001e+000	1.609091e+000
1.710000000000001e+000	1.600909e+000
1.720000000000001e+000	1.592727e+000
1.730000000000001e+000	1.584545e+000
1.740000000000001e+000	1.576364e+000
1.750000000000001e+000	1.568182e+000
1.760000000000001e+000	1.560000e+000
1.770000000000001e+000	1.551818e+000
1.780000000000001e+000	1.543636e+000
1.790000000000001e+000	1.535455e+000
1.800000000000001e+000	1.527273e+000
1.810000000000001e+000	1.519091e+000
1.820000000000001e+000	1.510909e+000
1.830000000000001e+000	1.502727e+000
1.840000000000001e+000	1.494545e+000
1.850000000000001e+000	1.486364e+000
