#time	V(n002)
9.013107199947780e-004	-1.692577e+000
9.023107199947780e-004	-1.677650e+000
9.033107199947780e-004	-1.662656e+000
9.043107199947781e-004	-1.647597e+000
9.053107199947781e-004	-1.632473e+000
9.063107199947781e-004	-1.617285e+000
9.073107199947781e-004	-1.602032e+000
9.083107199947782e-004	-1.586716e+000
9.093107199947782e-004	-1.571338e+000
9.103107199947782e-004	-1.555898e+000
9.113107199947782e-004	-1.540396e+000
9.123107199947783e-004	-1.524833e+000
9.143107199947783e-004	-1.493528e+000
9.163107199947784e-004	-1.461987e+000
9.183107199947784e-004	-1.430215e+000
9.203107199947785e-004	-1.398217e+000
9.223107199947785e-004	-1.365999e+000
9.243107199947786e-004	-1.333565e+000
9.273107199947786e-004	-1.284520e+000
9.303107199947787e-004	-1.235019e+000
9.333107199947788e-004	-1.185079e+000
9.353107199947788e-004	-1.151551e+000
9.373107199947789e-004	-1.117841e+000
9.427392914233505e-004	-1.025191e+000
9.481678628519219e-004	-9.316242e-001
9.535964342804935e-004	-8.371398e-001
9.590250057090651e-004	-7.417381e-001
9.644535771376367e-004	-6.454191e-001
9.698821485662082e-004	-5.481827e-001
9.753107199947798e-004	-4.500291e-001
9.788821485662081e-004	-3.852633e-001
9.824535771376364e-004	-3.203854e-001
9.860250057090647e-004	-2.553953e-001
9.895964342804930e-004	-1.902931e-001
9.931678628519213e-004	-1.250787e-001
9.967392914233496e-004	-5.975219e-002
1.000310719994778e-003	5.686501e-003
1.005025005709063e-003	9.213577e-002
1.009739291423349e-003	1.783159e-001
1.014453577137634e-003	2.642269e-001
1.019167862851919e-003	3.498687e-001
1.023882148566205e-003	4.352414e-001
1.028596434280490e-003	5.203449e-001
1.033310719994775e-003	6.051793e-001
1.037739291423346e-003	6.843635e-001
1.042167862851917e-003	7.628676e-001
1.046596434280488e-003	8.406913e-001
1.051025005709059e-003	9.178349e-001
1.055453577137631e-003	9.942983e-001
1.059882148566202e-003	1.070081e+000
1.064310719994773e-003	1.145184e+000
1.067310719994772e-003	1.195459e+000
1.070310719994772e-003	1.245310e+000
1.073310719994772e-003	1.294718e+000
1.076310719994772e-003	1.343665e+000
1.078310719994771e-003	1.376033e+000
1.080310719994771e-003	1.408184e+000
1.082310719994771e-003	1.440112e+000
1.084310719994771e-003	1.471812e+000
1.086310719994771e-003	1.503281e+000
1.087310719994771e-003	1.518926e+000
1.088310719994771e-003	1.534512e+000
1.089310719994770e-003	1.550037e+000
1.090310719994770e-003	1.565500e+000
1.091310719994770e-003	1.580902e+000
1.092310719994770e-003	1.596242e+000
1.093310719994770e-003	1.611518e+000
1.094310719994770e-003	1.626731e+000
1.095310719994770e-003	1.641879e+000
1.096310719994770e-003	1.656963e+000
1.097310719994770e-003	1.671982e+000
1.098310719994770e-003	1.686934e+000
1.099310719994770e-003	1.701820e+000
1.100310719994770e-003	1.716638e+000
1.101310719994769e-003	1.731389e+000
1.102310719994769e-003	1.746072e+000
1.103310719994769e-003	1.760685e+000
1.104310719994769e-003	1.775229e+000
1.105310719994769e-003	1.789703e+000
1.106310719994769e-003	1.804109e+000
1.112310719994769e-003	1.892986e+000
1.118310719994768e-003	1.976546e+000
1.124310719994768e-003	2.054789e+000
1.130310719994767e-003	2.127716e+000
1.136310719994767e-003	2.195325e+000
1.142310719994766e-003	2.257618e+000
1.148310719994766e-003	2.314593e+000
1.153025005709051e-003	2.349923e+000
1.157739291423336e-003	2.382208e+000
1.162453577137622e-003	2.411447e+000
1.167167862851907e-003	2.437640e+000
1.171882148566192e-003	2.460788e+000
1.176596434280477e-003	2.480890e+000
1.181310719994763e-003	2.497947e+000
1.182310719994763e-003	2.501479e+000
1.202882148566190e-003	2.555113e+000
1.223453577137616e-003	2.589270e+000
1.244025005709043e-003	2.603951e+000
1.264596434280470e-003	2.599154e+000
1.285167862851897e-003	2.574881e+000
1.305739291423324e-003	2.531131e+000
1.326310719994751e-003	2.467905e+000
1.335025005709036e-003	2.428023e+000
1.343739291423320e-003	2.374131e+000
1.352453577137606e-003	2.306228e+000
1.361167862851890e-003	2.224313e+000
1.369882148566175e-003	2.128387e+000
1.378596434280460e-003	2.018450e+000
1.387310719994745e-003	1.894501e+000
1.388310719994745e-003	1.880501e+000
1.389310719994745e-003	1.866437e+000
1.390310719994745e-003	1.852309e+000
1.391310719994745e-003	1.838118e+000
1.392310719994745e-003	1.823864e+000
1.393310719994745e-003	1.809546e+000
1.394310719994745e-003	1.795165e+000
1.395310719994745e-003	1.780717e+000
1.396310719994745e-003	1.766199e+000
1.397310719994745e-003	1.751612e+000
1.398310719994744e-003	1.736956e+000
1.399310719994744e-003	1.722230e+000
1.400310719994744e-003	1.707438e+000
1.401310719994744e-003	1.692577e+000
1.402310719994744e-003	1.677650e+000
1.403310719994744e-003	1.662656e+000
1.404310719994744e-003	1.647597e+000
1.405310719994744e-003	1.632473e+000
1.406310719994744e-003	1.617285e+000
1.407310719994744e-003	1.602032e+000
1.408310719994744e-003	1.586716e+000
1.409310719994744e-003	1.571338e+000
1.410310719994743e-003	1.555898e+000
1.411310719994743e-003	1.540396e+000
1.412310719994743e-003	1.524833e+000
1.414310719994743e-003	1.493528e+000
1.416310719994743e-003	1.461987e+000
1.418310719994743e-003	1.430215e+000
1.420310719994743e-003	1.398217e+000
1.422310719994742e-003	1.365999e+000
1.424310719994742e-003	1.333565e+000
1.427310719994742e-003	1.284520e+000
1.430310719994742e-003	1.235019e+000
1.433310719994742e-003	1.185079e+000
1.435310719994741e-003	1.151551e+000
1.437310719994741e-003	1.117841e+000
1.442739291423312e-003	1.025191e+000
1.448167862851883e-003	9.316242e-001
1.453596434280454e-003	8.371398e-001
1.459025005709025e-003	7.417381e-001
1.464453577137596e-003	6.454191e-001
1.469882148566167e-003	5.481827e-001
1.475310719994738e-003	4.500291e-001
1.482310719994737e-003	3.230658e-001
1.485025005709023e-003	2.736175e-001
1.487739291423308e-003	2.241256e-001
1.490453577137594e-003	1.745901e-001
1.493167862851879e-003	1.250111e-001
1.495882148566165e-003	7.538855e-002
1.498596434280450e-003	2.572242e-002
1.501310719994736e-003	-2.398726e-002
1.506739291423307e-003	-1.235859e-001
1.512167862851878e-003	-2.227539e-001
1.517596434280449e-003	-3.214913e-001
1.523025005709020e-003	-4.197979e-001
1.528453577137591e-003	-5.176739e-001
1.533882148566162e-003	-6.151191e-001
1.539310719994733e-003	-7.121337e-001
1.542882148566161e-003	-7.754045e-001
1.546453577137589e-003	-8.382064e-001
1.550025005709018e-003	-9.005396e-001
1.553596434280446e-003	-9.624039e-001
1.557167862851874e-003	-1.023800e+000
1.560739291423302e-003	-1.084726e+000
1.564310719994731e-003	-1.145184e+000
1.567310719994730e-003	-1.195459e+000
1.570310719994730e-003	-1.245310e+000
1.573310719994730e-003	-1.294718e+000
1.576310719994730e-003	-1.343665e+000
1.578310719994729e-003	-1.376033e+000
1.580310719994729e-003	-1.408184e+000
1.582310719994729e-003	-1.440112e+000
1.584310719994729e-003	-1.471812e+000
1.586310719994729e-003	-1.503281e+000
1.587310719994729e-003	-1.518926e+000
1.588310719994728e-003	-1.534512e+000
1.589310719994728e-003	-1.550037e+000
1.590310719994728e-003	-1.565500e+000
1.591310719994728e-003	-1.580902e+000
1.592310719994728e-003	-1.596242e+000
1.593310719994728e-003	-1.611518e+000
1.594310719994728e-003	-1.626731e+000
1.595310719994728e-003	-1.641879e+000
1.596310719994728e-003	-1.656963e+000
1.597310719994728e-003	-1.671982e+000
1.598310719994728e-003	-1.686934e+000
1.599310719994728e-003	-1.701820e+000
1.600310719994727e-003	-1.716638e+000
1.601310719994727e-003	-1.731389e+000
1.602310719994727e-003	-1.746072e+000
1.603310719994727e-003	-1.760685e+000
1.604310719994727e-003	-1.775229e+000
1.605310719994727e-003	-1.789703e+000
1.606310719994727e-003	-1.804109e+000
1.612310719994726e-003	-1.892986e+000
1.618310719994726e-003	-1.976546e+000
1.624310719994725e-003	-2.054789e+000
1.630310719994725e-003	-2.127716e+000
1.636310719994724e-003	-2.195325e+000
1.642310719994724e-003	-2.257618e+000
1.648310719994723e-003	-2.314593e+000
1.658025005709008e-003	-2.379341e+000
1.667739291423293e-003	-2.435124e+000
1.677453577137578e-003	-2.481942e+000
1.687167862851863e-003	-2.519793e+000
1.696882148566148e-003	-2.548680e+000
1.706596434280433e-003	-2.568601e+000
1.716310719994718e-003	-2.579556e+000
1.725596434280431e-003	-2.589862e+000
1.734882148566145e-003	-2.596878e+000
1.744167862851858e-003	-2.600603e+000
1.753453577137572e-003	-2.601039e+000
1.762739291423285e-003	-2.598184e+000
1.772025005708999e-003	-2.592040e+000
1.781310719994712e-003	-2.582605e+000
1.782310719994712e-003	-2.581354e+000
1.792025005708997e-003	-2.570880e+000
1.801739291423282e-003	-2.551721e+000
1.811453577137567e-003	-2.523877e+000
1.821167862851852e-003	-2.487347e+000
1.830882148566137e-003	-2.442132e+000
1.840596434280421e-003	-2.388232e+000
1.850310719994706e-003	-2.325647e+000
1.856310719994706e-003	-2.270851e+000
1.862310719994705e-003	-2.210426e+000
1.868310719994705e-003	-2.144372e+000
1.874310719994704e-003	-2.072688e+000
1.880310719994704e-003	-1.995376e+000
1.886310719994703e-003	-1.912434e+000
1.892310719994703e-003	-1.823862e+000
1.894310719994703e-003	-1.795165e+000
1.895310719994703e-003	-1.780717e+000
1.896310719994703e-003	-1.766199e+000
1.897310719994703e-003	-1.751612e+000
1.898310719994702e-003	-1.736956e+000
1.899310719994702e-003	-1.722230e+000
1.900310719994702e-003	-1.707438e+000
1.901310719994702e-003	-1.692577e+000
1.902310719994702e-003	-1.677650e+000
1.903310719994702e-003	-1.662656e+000
1.904310719994702e-003	-1.647597e+000
1.905310719994702e-003	-1.632473e+000
1.906310719994702e-003	-1.617285e+000
1.907310719994702e-003	-1.602032e+000
1.908310719994702e-003	-1.586716e+000
1.909310719994701e-003	-1.571338e+000
1.910310719994701e-003	-1.555898e+000
1.911310719994701e-003	-1.540396e+000
1.912310719994701e-003	-1.524833e+000
1.914310719994701e-003	-1.493528e+000
1.916310719994701e-003	-1.461987e+000
1.918310719994701e-003	-1.430215e+000
1.920310719994701e-003	-1.398217e+000
1.922310719994700e-003	-1.365999e+000
1.924310719994700e-003	-1.333565e+000
1.927310719994700e-003	-1.284520e+000
1.930310719994700e-003	-1.235019e+000
1.933310719994699e-003	-1.185079e+000
1.935310719994699e-003	-1.151551e+000
1.937310719994699e-003	-1.117841e+000
1.942739291423271e-003	-1.025191e+000
1.948167862851843e-003	-9.316242e-001
1.953596434280414e-003	-8.371398e-001
1.959025005708986e-003	-7.417381e-001
1.964453577137558e-003	-6.454191e-001
1.969882148566129e-003	-5.481827e-001
1.975310719994701e-003	-4.500291e-001
1.978882148566130e-003	-3.852633e-001
1.982453577137559e-003	-3.203854e-001
1.986025005708988e-003	-2.553953e-001
1.989596434280417e-003	-1.902931e-001
1.993167862851846e-003	-1.250787e-001
1.996739291423275e-003	-5.975219e-002
2.000310719994704e-003	5.686501e-003
2.005025005708990e-003	9.213577e-002
2.009739291423277e-003	1.783159e-001
2.014453577137563e-003	2.642269e-001
2.019167862851850e-003	3.498687e-001
2.023882148566136e-003	4.352414e-001
2.028596434280422e-003	5.203449e-001
2.033310719994708e-003	6.051793e-001
2.037739291423280e-003	6.843635e-001
2.042167862851853e-003	7.628676e-001
2.046596434280425e-003	8.406913e-001
2.051025005708996e-003	9.178349e-001
2.055453577137568e-003	9.942983e-001
2.059882148566141e-003	1.070081e+000
2.064310719994713e-003	1.145184e+000
2.067310719994713e-003	1.195459e+000
2.070310719994713e-003	1.245310e+000
2.073310719994714e-003	1.294718e+000
2.076310719994714e-003	1.343665e+000
2.078310719994714e-003	1.376033e+000
2.080310719994715e-003	1.408184e+000
2.082310719994715e-003	1.440112e+000
2.084310719994715e-003	1.471812e+000
2.086310719994715e-003	1.503281e+000
2.087310719994716e-003	1.518926e+000
2.088310719994716e-003	1.534512e+000
2.089310719994716e-003	1.550037e+000
2.090310719994716e-003	1.565500e+000
2.091310719994716e-003	1.580902e+000
2.092310719994716e-003	1.596242e+000
2.093310719994716e-003	1.611518e+000
